epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94196,1.91404,3.81355,1.50102,0.00837,0.22667,0.07476,0.04178,1.83634,3.70329,1.53558,2.222e-05,2.222e-05,2.222e-05
2,5.0395,1.97823,3.7976,1.55974,0.01437,0.22667,0.09706,0.05754,1.7532,3.69255,1.49645,5.37169e-05,5.37169e-05,5.37169e-05
3,6.13887,1.77791,3.60357,1.50383,0.04181,0.33222,0.11115,0.07046,1.54518,3.7103,1.38548,8.30139e-05,8.30139e-05,8.30139e-05
4,7.22723,1.75341,3.26961,1.44402,0.05923,0.34033,0.12155,0.06967,1.44587,3.69367,1.33285,0.000110111,0.000110111,0.000110111
5,8.31574,1.65348,2.86343,1.44029,0.06474,0.3581,0.12602,0.0716,1.42516,3.60987,1.29094,0.000135009,0.000135009,0.000135009
6,9.36716,1.62727,2.51458,1.40977,0.06448,0.37954,0.13536,0.07571,1.40244,3.55688,1.27266,0.000157706,0.000157706,0.000157706
7,10.4572,1.74702,2.36188,1.35031,0.07156,0.43542,0.14783,0.08517,1.41916,3.49207,1.27007,0.000178204,0.000178204,0.000178204
8,11.5719,1.56954,2.10819,1.32196,0.07208,0.49974,0.15251,0.08806,1.42777,3.46421,1.27242,0.000196503,0.000196503,0.000196503
9,12.9038,1.56516,1.98708,1.3076,0.0642,0.50784,0.15197,0.09284,1.37342,3.43146,1.2451,0.000212601,0.000212601,0.000212601
10,14.5763,1.54919,1.9472,1.31366,0.0649,0.51529,0.16571,0.09419,1.33336,3.40737,1.2358,0.0002265,0.0002265,0.0002265
11,15.9027,1.67746,1.89209,1.33674,0.06269,0.53752,0.17159,0.1064,1.32611,3.36126,1.23685,0.000238198,0.000238198,0.000238198
12,16.9564,1.55567,1.73792,1.36192,0.0533,0.50497,0.16054,0.09745,1.35261,3.32747,1.25608,0.000247697,0.000247697,0.000247697
13,18.0079,1.39215,1.63728,1.29052,0.05182,0.4932,0.18252,0.09441,1.4108,3.26239,1.2885,0.000254997,0.000254997,0.000254997
14,19.0917,1.55192,1.58808,1.28174,0.05222,0.55072,0.18866,0.10191,1.43401,3.23559,1.29857,0.000260096,0.000260096,0.000260096
15,20.057,1.49002,1.52744,1.29787,0.04869,0.59935,0.24231,0.12639,1.37501,3.18257,1.27396,0.000262996,0.000262996,0.000262996
16,21.1536,1.41064,1.39153,1.21551,0.04482,0.63255,0.26555,0.14293,1.37857,3.13764,1.26608,0.000263696,0.000263696,0.000263696
17,22.149,1.54426,1.48273,1.29005,0.04441,0.64497,0.30067,0.15138,1.38607,3.07331,1.28508,0.000262196,0.000262196,0.000262196
18,23.2102,1.46765,1.50156,1.26729,0.92672,0.19854,0.33009,0.16527,1.40228,3.01345,1.30053,0.000258496,0.000258496,0.000258496
19,24.283,1.39917,1.35413,1.24247,0.99307,0.12391,0.34646,0.1732,1.39438,2.95253,1.29551,0.000252597,0.000252597,0.000252597
20,25.5563,1.48775,1.38279,1.21275,1,0.11302,0.3634,0.18942,1.38623,2.8761,1.29701,0.000244498,0.000244498,0.000244498
21,29.4642,1.38917,1.36393,1.20695,1,0.11033,0.36974,0.19696,1.38502,2.79897,1.30009,0.000234199,0.000234199,0.000234199
22,31.2132,1.40665,1.32476,1.23357,1,0.11974,0.36995,0.20717,1.38343,2.72058,1.29116,0.0002217,0.0002217,0.0002217
23,32.2076,1.36842,1.28773,1.22716,1,0.12604,0.39277,0.21189,1.39409,2.66955,1.29318,0.000207002,0.000207002,0.000207002
24,33.1995,1.37814,1.3214,1.22386,1,0.132,0.40424,0.21887,1.40064,2.62442,1.29298,0.000190103,0.000190103,0.000190103
25,34.2018,1.39903,1.31191,1.24218,1,0.13677,0.41366,0.22587,1.39849,2.56508,1.29096,0.000171005,0.000171005,0.000171005
26,35.2143,1.3994,1.28695,1.2228,0.99375,0.13773,0.45668,0.2474,1.38719,2.48341,1.2969,0.000149707,0.000149707,0.000149707
27,36.2703,1.38865,1.30268,1.23782,0.99368,0.13632,0.50672,0.27224,1.3796,2.39919,1.29443,0.00012621,0.00012621,0.00012621
28,37.3656,1.34133,1.27727,1.19743,0.99367,0.15331,0.53069,0.28678,1.35673,2.31481,1.29161,0.000100512,0.000100512,0.000100512
29,38.4319,1.34587,1.23401,1.19268,0.99367,0.15331,0.53069,0.28678,1.35673,2.31481,1.29161,7.2615e-05,7.2615e-05,7.2615e-05
30,39.7993,1.35091,1.28563,1.19297,0.98836,0.17285,0.5461,0.30528,1.34665,2.19754,1.28859,4.2518e-05,4.2518e-05,4.2518e-05
